Membership No  Date Joined  Active  
    51434      2020-11-21   no    
    33080      2018-9-10    no    
    78060      2020-9-2     no    
    18540      2015-9-2     no    
    96476      2018-8-15    no    
    73159      2015-9-25    no    
    24351      2016-9-1     no    
    59403      2016-11-4    no    
    83238      2018-1-14    no    
    52593      2019-11-7    no    
    29931      2016-3-25    no    
    46783      2020-3-12    no    
    29763      2017-7-4     no    
    92061      2016-8-4     no    
    65742      2017-3-2     no    
